,FLT3,FANCL,SYK,CEP76,ELF3,JAK2,CCNE1,TPX2,GSK3B
TCGA-A7-A0CE-01,73.0159,409.8952,772.6984,96.1905,2809.8413,509.5238,28.5714,209.5238,1029.8413
TCGA-A7-A0CH-01,37.2355,213.3672,794.7344,93.2769,2157.4048,359.5675,20.3103,163.2346,917.7245
TCGA-A7-A0D9-01,16.2933,104.3483,645.6212,110.4888,217.9226,836.0489,25.9674,84.5214,1270.3666
TCGA-A7-A0DB-01,24.7423,171.6495,1292.268,104.6392,96.9072,762.3711,33.5052,345.3608,1128.3505
TCGA-A7-A13E-01,46.8382,188.9533,897.245,110.7529,501.0715,710.3799,24.8828,94.1644,1567.1293
TCGA-A7-A13F-01,15.7162,283.6956,524.9214,125.2806,2073.6417,443.6462,15.7162,92.5011,1343.5115
TCGA-A7-A13G-01,2.8467,174.8231,364.3758,155.3477,7.32,1238.7149,40.2603,36.6002,1528.6702
TCGA-AC-A23H-01,28.2673,318.7763,583.5942,112.7113,2057.4291,561.4098,17.8907,109.8488,1692.8169
TCGA-AC-A2FB-01,30.9703,248.1204,833.4924,100.7287,2054.2642,617.0009,23.1526,96.2185,1193.7103
TCGA-AC-A2FF-01,214.058,313.1143,997.9125,135.8122,1912.2698,527.8792,54.4926,466.6799,1510.4221
TCGA-AC-A2FM-01,58.3197,290.5098,701.4682,59.5432,6626.4274,220.6362,23.2463,32.6264,659.0538
TCGA-BH-A0AU-01,17.3755,399.1757,505.5056,161.6325,4898.2726,468.7342,8.8898,52.1265,1642.5902
TCGA-BH-A0AY-01,9.1304,308.8174,448.2609,160.4348,3400.8696,599.1304,11.3043,78.6957,1173.4783
TCGA-BH-A0AZ-01,280.7285,383.4337,678.1986,182.5802,3415.0728,617.2369,10.9731,60.9617,1585.9179
TCGA-BH-A0B3-01,34.693,345.0786,776.9858,188.9223,4276.857,755.0021,15.4573,107.1705,1798.8836
TCGA-BH-A0B5-01,2.5997,149.4584,224.4367,133.4489,2.1664,768.1976,39.8614,77.9896,1225.7366
TCGA-BH-A0B7-01,67.76,450.3237,463.5304,182.9953,4201.9853,784.2037,17.6953,162.7104,1795.8567
TCGA-BH-A0B8-01,2.8629,124.032,383.6335,156.9844,248.1212,994.3934,28.1522,40.0811,1448.1689
TCGA-BH-A0BA-01,11.9982,215.1823,630.826,148.5925,2474.3886,606.3683,26.7651,183.6641,1545.4545
TCGA-BH-A0BC-01,2.736,198.0575,621.979,129.047,5351.5732,411.7647,18.6959,151.3908,1459.6443
TCGA-BH-A0BJ-01,75.9804,385.723,516.7484,192.8105,6753.268,450.1634,26.1438,180.5556,1662.5817
TCGA-BH-A0BM-01,2.5296,407.5195,414.8468,112.9867,5753.8913,293.8498,10.1182,111.3004,1205.3323
TCGA-BH-A0BQ-01,176.6882,314.9192,500.0528,128.0778,3756.1027,441.2977,40.1564,204.1636,1983.3034
TCGA-BH-A0BS-01,5.6125,378.2722,560.8996,144.1712,5070.1958,394.98,14.0313,117.5118,1258.9548
TCGA-BH-A0BT-01,25.6916,374.4148,644.2969,126.4508,4547.0101,358.8794,15.2544,92.7306,1425.4818
TCGA-BH-A0BV-01,167.8492,327.1164,466.5536,168.4607,7785.2692,658.8617,22.3187,273.3283,1682.7726
TCGA-BH-A0BW-01,119.4144,355.5834,2034.7875,151.3158,2495.6324,907.0324,85.3576,706.1403,1718.3608
TCGA-BH-A0BZ-01,18.0522,229.147,852.7845,147.6668,1859.7346,588.1397,18.7743,70.4035,1362.9389
TCGA-BH-A0C0-01,16.7131,357.784,579.6967,150.4178,3250.6964,631.074,11.4516,55.0913,1790.1578
TCGA-BH-A0C3-01,59.8463,383.8132,502.6284,142.3372,3515.1638,381.7226,16.9834,93.4088,1762.6365
TCGA-BH-A0DD-01,10.4076,157.1596,488.2914,126.6262,31.6565,798.7858,13.8768,129.2281,1375.9757
TCGA-BH-A0DG-01,123.8953,402.088,644.2554,177.7484,3340.5468,519.369,17.5105,194.9286,2124.7212
TCGA-BH-A0DH-01,1.6793,276.5407,466.8346,99.916,2010.9152,245.1721,34.8447,95.2981,757.3468
TCGA-BH-A0DK-01,506.5948,271.6461,506.8862,146.6152,4093.5655,893.3907,20.9867,218.3196,1866.6472
TCGA-BH-A0DL-01,52.615,317.0762,765.5955,142.7221,2543.7933,762.7599,29.9307,154.6944,1558.2861
TCGA-BH-A0DO-01,15.2788,339.8549,446.1421,143.6211,5235.6761,467.5325,20.2445,106.9519,1855.615
TCGA-BH-A0DP-01,52.9217,237.4489,779.5776,141.4638,3347.9773,453.5663,11.195,43.4229,1706.3862
TCGA-BH-A0DQ-01,125.9157,308.5544,626.6773,189.4538,2571.4078,1117.8647,21.4695,132.5887,1880.0319
TCGA-BH-A0DT-01,96.0204,362.0591,493.2457,166.119,4985.3961,542.8989,22.636,136.1811,1608.6163
TCGA-BH-A0DV-01,38.4615,367.2646,581.565,164.4562,6155.504,571.618,8.9523,62.0027,1511.2732
TCGA-BH-A0DZ-01,172.8723,353.3023,494.2376,95.3014,5099.734,191.0461,46.0993,299.2021,1047.4291
TCGA-BH-A0E0-01,294.0133,215.1707,572.5055,128.1596,2702.439,278.0488,20.8426,184.9224,951.2195
TCGA-BH-A0E1-01,65.1641,415.7717,391.4748,166.585,3507.5943,405.1935,21.5581,66.634,1426.7516
TCGA-BH-A0H5-01,60.6564,412.2642,459.9086,174.0756,4163.6892,566.2651,15.3718,69.7964,1782.3016
TCGA-BH-A0H7-01,30.5491,245.9861,511.2142,169.3735,6950.5027,229.3117,21.2684,592.034,1375.4834
TCGA-BH-A0H9-01,2.3966,166.5848,203.1156,86.2792,6.5908,357.6992,14.979,49.7304,778.3104
TCGA-BH-A0HA-01,9.7324,536.399,426.6018,226.2774,3130.9813,420.5191,32.4412,148.013,1588.4023
TCGA-BH-A0HK-01,5.2276,191.0004,602.2904,75.4263,4629.3842,335.3111,10.4551,66.4648,1054.8484
TCGA-BH-A18J-01,13.369,290.0267,567.2906,122.1034,3306.1497,458.5561,14.2602,110.9626,1273.6185
TCGA-BH-A18K-01,224.8134,295.8116,476.6791,159.9813,2772.3881,529.3843,12.5933,48.041,1683.3022
TCGA-BH-A18L-01,15.9798,237.9773,506.7283,130.7822,3430.1934,561.8167,21.0261,87.0479,1190.4962
TCGA-BH-A18M-01,29.9691,262.1463,509.4755,137.5055,2964.3015,728.9555,25.1212,193.918,1406.7871
TCGA-BH-A18N-01,57.8704,254.4048,760.582,157.4074,3593.9153,677.5794,14.5503,50.2646,1460.3175
TCGA-BH-A18P-01,2.1331,240.2474,375,157.4232,2183.4471,831.058,15.3584,46.0751,1663.3959
TCGA-BH-A18Q-01,10.3676,374.4266,601.3195,174.0496,2711.5928,725.7304,20.421,126.6101,1719.1329
TCGA-BH-A18R-01,27.5753,270.5166,547.3851,159.4295,3226.3074,623.7718,23.7718,69.4136,1565.1347
TCGA-BH-A18S-01,22.296,304.5446,999.0512,130.4554,7639.9431,556.4516,15.1803,106.2619,1159.3928
TCGA-BH-A18U-01,13.2075,340.4953,651.4151,146.2264,3888.2075,597.6415,34.434,429.717,1566.0377
TCGA-BH-A18V-01,39.6337,640.1227,475.6039,87.0962,8342.151,188.8715,15.1684,39.1444,549.4889
TCGA-BH-A1EN-01,12.9794,207.705,513.5693,125.3687,1619.174,754.5723,27.4336,80.531,1402.3599
TCGA-BH-A1EO-01,25.3649,202.7519,951.4238,137.5927,4.7858,639.6267,21.7755,124.671,994.9749
TCGA-BH-A1ET-01,20.897,286.7788,665.3925,202.8542,3382.263,793.0683,13.5066,38.4811,1750.5097
TCGA-BH-A1EU-01,27.0603,356.0455,672.8167,186.9619,3626.6913,771.8327,15.3752,34.4403,1682.6568
TCGA-BH-A1EV-01,23.1356,369.7686,792.2717,161.4571,2838.7891,836.0817,31.5038,424.0709,2102.6335
TCGA-BH-A1EW-01,308.5084,301.9711,688.7333,288.7757,2435.1793,1354.9756,43.9211,344.3666,1711.8608
TCGA-BH-A1F0-01,10.0979,250.3641,502.448,143.5129,2525.0918,816.0955,23.5618,47.7356,1323.7454
TCGA-BH-A1F2-01,14.1793,191.6284,389.4958,174.2024,2384.4317,857.7009,25.4648,97.5186,1532.8076
TCGA-BH-A1F6-01,16.1196,291.017,801.2896,194.6073,1115.7679,932.0047,23.7397,109.027,1884.8183
TCGA-BH-A1F8-01,14.9168,335.6053,571.4286,119.9082,2970.1664,538.1526,22.3752,211.704,1387.2633
TCGA-BH-A1FB-01,60.5623,355.3506,652.6194,172.966,6535.3999,557.6577,19.8644,43.6049,1660.3763
TCGA-BH-A1FC-01,21.3018,258.4024,673.3728,137.8698,4002.9586,697.6331,19.5266,68.0473,1265.6805
TCGA-BH-A1FD-01,23.9398,267.8625,648.7688,145.6908,3173.7346,929.2066,19.8358,66.3475,1524.9658
TCGA-BH-A1FE-01,53.7897,620.6112,499.8254,271.3936,2377.9253,674.4673,22.0049,176.0391,2222.1446
TCGA-BH-A1FG-01,4.6083,653.0247,281.5249,126.5186,2647.6749,572.2664,10.0545,44.4072,1648.0938
TCGA-BH-A1FH-01,15.3374,203.4663,700.409,134.4581,2553.681,497.955,26.5849,133.9468,1186.6053
TCGA-BH-A1FJ-01,39.6931,422.7312,658.111,201.9054,4499.606,984.1234,12.7018,110.3467,1688.2784
TCGA-BH-A1FM-01,21.0671,317.4353,526.0667,152.3548,2987.5582,552.3243,13.4341,90.0695,1560.4916
TCGA-BH-A1FN-01,96.3117,465.5632,1092.3013,183.1075,4237.4256,641.3089,34.3146,179.9356,1352.6889
TCGA-BH-A1FR-01,114.1991,336.4831,1008.5902,143.0015,3292.0667,641.7383,16.1698,158.1607,1393.6331
TCGA-BH-A1FU-01,109.5962,333.8909,619.2973,169.376,3122.1814,600.4195,13.1096,76.0357,1637.6508
TCGA-BH-A203-01,17.1898,362.642,461.8834,177.8774,3781.0164,810.5381,15.6951,124.0658,1989.5366
TCGA-BH-A204-01,5.029,140.8046,374.8549,134.6228,609.2843,1013.5397,17.4081,68.472,1336.9439
TCGA-BH-A208-01,63.5583,339.0405,461.1971,165.4433,5033.8831,537.531,17.5664,42.1593,1898.1262
TCGA-BH-A209-01,31.3165,324.9438,801.7635,136.2116,2443.2958,1094.5576,22.1952,138.0359,1652.478
TCGA-E2-A153-01,444.6463,289.8921,627.2283,153.9684,5298.0584,513.6823,19.5299,147.1557,1555.5808
TCGA-E2-A158-01,15.6348,174.9093,430.8943,103.1895,554.0963,1039.3996,34.3965,146.9669,1191.995
TCGA-E2-A15I-01,11.1776,277.7379,222.4884,155.4225,209.1816,1271.0579,11.1776,43.1138,1544.644
TCGA-E2-A15K-01,8.6663,291.2566,532.0173,91.4781,4947.5205,211.844,30.3322,122.2918,664.4198
TCGA-E2-A15M-01,29.8885,254.4109,490.1713,138.8665,3707.5526,883.3199,7.817,60.6966,1413.4958
TCGA-E2-A1BC-01,16.4081,197.4675,131.2645,126.9841,9.2741,1144.2839,11.4143,26.3956,1121.4553
TCGA-E2-A1IG-01,44.4209,172.6705,432.5754,118.4558,2216.2877,730.8302,27.4987,134.3205,1351.6658
TCGA-E2-A1L7-01,116.4495,410.0692,751.6287,131.5147,5046.4169,652.2801,18.3225,172.6384,1168.1596
TCGA-E2-A1LB-01,104.4654,412.7612,383.0397,163.8673,3489.9631,283.4904,34.4121,238.4269,1713.2323
TCGA-E2-A1LH-01,19.1663,348.874,835.1701,150.9344,6764.2549,398.6584,10.5414,77.6234,1509.3436
TCGA-E2-A1LS-01,6.3001,205.0445,106.7303,221.243,179.7368,732.2885,55.9593,117.4775,1620.9666
TCGA-E9-A1N4-01,93.265,475.0813,428.9003,182.9658,10115.6902,752.0606,17.8213,177.3223,1599.4654
TCGA-E9-A1N5-01,94.8858,311.9924,627.8611,139.9733,3625.1743,437.4166,76.0432,1085.4662,1639.3029
TCGA-E9-A1N6-01,68.8052,353.2775,733.6123,147.3733,8754.9977,635.5184,25.5695,135.2859,1112.0409
TCGA-E9-A1N9-01,176.9578,296.0881,359.5633,163.7801,6849.3976,552.3343,58.7349,192.7711,1284.262
TCGA-E9-A1NA-01,15.3448,173.1006,685.528,118.5384,3157.5717,670.9504,23.4008,77.1075,1272.8493
TCGA-E9-A1ND-01,45.9726,294.568,1666.1424,83.2345,1747.9252,435.0456,51.7796,298.5797,737.4967
TCGA-E9-A1NF-01,5.9633,101.0138,1353.211,113.3028,7.7982,940.367,12.3853,88.5321,1304.1284
TCGA-E9-A1NG-01,18.3363,163.9088,826.0286,153.8462,1787.1199,873.4347,12.5224,82.737,1258.0501
TCGA-E9-A1R7-01,26.699,186.5777,909.7896,130.6634,550.9709,1286.0032,21.0356,82.5243,1725.7282
TCGA-E9-A1RB-01,39.0411,278.0542,666.8228,152.729,1209.3386,777.6997,33.4192,364.4882,1827.1258
TCGA-E9-A1RC-01,13.2832,122.9957,513.8513,129.3367,10.4868,1088.1762,26.916,136.3279,1522.3281
TCGA-E9-A1RD-01,19.5835,241.088,591.8558,124.3394,942.493,921.6661,28.5981,104.1343,1356.2325
TCGA-E9-A1RF-01,5.2167,182.9775,654.0931,138.443,3.6116,1151.6854,8.0257,75.8427,1642.4559
TCGA-E9-A1RH-01,8.794,174.8074,456.0302,133.1658,443.0486,1022.1943,28.8945,95.4774,1587.9397
TCGA-E9-A1RI-01,7.7287,184.0672,464.1097,151.8694,131.7747,1724.2778,32.8471,49.8503,1751.7148
TCGA-GI-A2C8-01,3.6194,189.4467,102.3785,130.817,0.5171,1345.3981,18.0972,115.8221,1953.4643
TCGA-GI-A2C9-01,16.8629,303.8848,623.9262,124.4034,3965.3198,615.0175,20.0445,97.9955,1386.2552